Schengen State,Country where consulate is located,Consulate,ATVs applied, ATVs issued (including multiple),ATVs not issued ,Uniform visas applied for,"uniform visas issued including MEVs
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Belgium,FRANCE,PARIS,0.0,0.0,0.0,7.0,5.0,2.0,40.0,1.0,1.0,14.285714285714285,7.0,6.0,1.0,14.285714285714285
Belgium,GERMANY,BERLIN,0.0,0.0,0.0,4.0,3.0,2.0,66.7,0.0,1.0,25.0,4.0,3.0,1.0,25.0
Belgium,GREECE,ATHENS,0.0,0.0,0.0,9.0,7.0,3.0,42.9,1.0,1.0,11.11111111111111,9.0,8.0,1.0,11.11111111111111
Belgium,HONG KONG S.A.R.,HONG KONG,0.0,0.0,0.0,622.0,588.0,420.0,71.4,11.0,23.0,3.697749196141479,622.0,588.0,23.0,3.697749196141479
Belgium,HUNGARY,BUDAPEST,0.0,0.0,0.0,4.0,3.0,2.0,66.7,1.0,0.0,0.0,4.0,4.0,0.0,0.0
Belgium,INDIA,MUMBAI,0.0,0.0,0.0,19162.0,18360.0,15892.0,86.6,251.0,551.0,2.875482726228995,19162.0,18360.0,551.0,2.875482726228995
Belgium,INDIA,NEW DELHI,0.0,0.0,0.0,7117.0,6052.0,4029.0,66.6,177.0,888.0,12.477167345791766,7117.0,6052.0,888.0,12.477167345791766
Belgium,INDONESIA,JAKARTA,0.0,0.0,0.0,238.0,224.0,72.0,32.1,12.0,2.0,0.8403361344537815,238.0,224.0,2.0,0.8403361344537815
Belgium,IRAN,TEHERAN,3.0,0.0,0.0,6306.0,3860.0,796.0,20.6,139.0,1883.0,29.860450364732,6309.0,3999.0,1883.0,29.84625138690759
Belgium,IRELAND,DUBLIN,0.0,0.0,0.0,763.0,682.0,264.0,38.7,71.0,10.0,1.310615989515072,763.0,682.0,10.0,1.310615989515072
Belgium,ISRAEL,JERUSALEM,0.0,0.0,0.0,760.0,429.0,76.0,17.7,19.0,267.0,35.13157894736842,760.0,448.0,267.0,35.13157894736842
Belgium,ISRAEL,TEL AVIV,1.0,2.0,0.0,97.0,86.0,42.0,48.8,-1.0,12.0,12.371134020618557,98.0,88.0,12.0,12.244897959183673
Belgium,ITALY,ROME,0.0,0.0,0.0,3.0,3.0,2.0,66.7,0.0,0.0,0.0,3.0,3.0,0.0,0.0
Belgium,JAMAICA,KINGSTON,0.0,0.0,0.0,1083.0,885.0,312.0,35.3,128.0,70.0,6.463527239150507,1083.0,885.0,70.0,6.463527239150507
Belgium,JAPAN,TOKYO,0.0,0.0,0.0,338.0,311.0,183.0,58.8,12.0,15.0,4.437869822485207,338.0,311.0,15.0,4.437869822485207
Belgium,JORDAN,AMMAN,0.0,0.0,0.0,1903.0,1168.0,441.0,37.8,39.0,267.0,14.030478192327903,1903.0,1207.0,267.0,14.030478192327903
Belgium,KENYA,NAIROBI,0.0,0.0,0.0,1651.0,1301.0,511.0,39.3,42.0,208.0,12.598425196850393,1651.0,1343.0,208.0,12.598425196850393
Belgium,KUWAIT,KUWAIT,0.0,0.0,0.0,2177.0,1901.0,1642.0,86.4,24.0,183.0,8.406063389986219,2177.0,1925.0,183.0,8.406063389986219
Belgium,LEBANON,BEIRUT,0.0,0.0,0.0,3314.0,2175.0,728.0,33.5,25.0,920.0,27.76101388050694,3314.0,2200.0,920.0,27.76101388050694
Belgium,MALAYSIA,KUALA LUMPUR,0.0,0.0,0.0,127.0,116.0,35.0,30.2,-7.0,18.0,14.173228346456693,127.0,116.0,18.0,14.173228346456693
Belgium,MEXICO,MEXICO CITY,0.0,0.0,0.0,56.0,51.0,35.0,68.6,5.0,0.0,0.0,56.0,51.0,5.0,8.928571428571429
Belgium,MOROCCO,CASABLANCA,0.0,0.0,0.0,12889.0,5809.0,3066.0,52.8,3.0,6111.0,47.412522305842195,12889.0,5812.0,6111.0,47.412522305842195
Belgium,MOROCCO,RABAT,0.0,0.0,0.0,567.0,513.0,483.0,94.2,15.0,3.0,0.5291005291005291,567.0,528.0,3.0,0.5291005291005291
Belgium,NETHERLANDS,THE HAGUE,0.0,0.0,0.0,9.0,5.0,3.0,60.0,1.0,3.0,33.33333333333333,9.0,5.0,3.0,33.33333333333333
Belgium,NIGERIA,ABUJA,11.0,0.0,11.0,3827.0,1898.0,1519.0,80.0,77.0,1756.0,45.88450483407369,3838.0,1975.0,1767.0,46.03960396039604
Belgium,PAKISTAN,ISLAMABAD,0.0,0.0,0.0,2813.0,1177.0,225.0,19.1,34.0,1354.0,48.13366512619979,2813.0,1211.0,1354.0,48.13366512619979
Belgium,PANAMA,PANAMA CITY,0.0,0.0,0.0,11.0,8.0,4.0,50.0,0.0,3.0,27.27272727272727,11.0,8.0,3.0,27.27272727272727
Belgium,PERU,LIMA,0.0,0.0,0.0,107.0,89.0,58.0,65.2,1.0,11.0,10.2803738317757,107.0,90.0,11.0,10.2803738317757
Belgium,PHILIPPINES,MANILA,0.0,0.0,0.0,5882.0,5261.0,2322.0,44.1,3.0,501.0,8.51751105066304,5882.0,5264.0,501.0,8.51751105066304
Belgium,POLAND,WARSAW,0.0,0.0,0.0,10.0,5.0,1.0,20.0,2.0,3.0,30.0,10.0,5.0,3.0,30.0
Belgium,PORTUGAL,LISBON,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
