Schengen State,Country where consulate is located,Consulate,ATVs applied, ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,"uniform visas issued including MEVs
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
France,MONACO,MONACO,,,,,,2,1,,,,1,50.00%,2,1,1,50.00%
France,MONGOLIA,ULAN BATOR,,,,,,3159,2524,369,14.60%,,610,19.30%,"3,159","2,524",610,19.30%
France,MOROCCO,AGADIR,,,,,,32692,23735,10595,44.60%,11,8672,26.50%,"32,692","23,746","8,672",26.50%
France,MOROCCO,CASABLANCA,,,,,,104809,94224,35162,37.30%,7,9066,8.70%,"1,04,809","94,231","9,066",8.70%
France,MOROCCO,FES,,,,,,75745,59094,19505,33.00%,7,20057,26.50%,"75,745","59,101","20,057",26.50%
France,MOROCCO,MARRAKECH,4,4,,,,30866,25171,7393,29.40%,9,4956,16.10%,"30,870","25,184","4,956",16.10%
France,MOROCCO,RABAT,,,,,,73289,67232,25892,38.50%,74,5736,7.80%,"73,289","67,306","5,736",7.80%
France,MOROCCO,TANGER,,,,,,45024,33905,10179,30.00%,4,8297,18.40%,"45,024","33,909","8,297",18.40%
France,MOZAMBIQUE,MAPUTO,6,6,,,,1208,1019,80,7.90%,,167,13.80%,"1,214","1,025",167,13.80%
France,MYANMAR,YANGON,,,,,,2797,2559,264,10.30%,,207,7.40%,"2,797","2,559",207,7.40%
France,NEW ZEALAND,WELLINGTON,,,,,,759,742,174,23.50%,,9,1.20%,759,742,9,1.20%
France,NICARAGUA,MANAGUA,,,,,,1,,,,,1,100.00%,1,,1,100.00%
France,NIGER,NIAMEY,,,,,,6171,5340,1672,31.30%,51,653,10.60%,"6,171","5,391",653,10.60%
France,NIGERIA,ABUJA,54,28,,25,46.30%,7787,4181,1038,24.80%,270,3510,45.10%,"7,841","4,479","3,535",45.10%
France,NIGERIA,LAGOS,102,24,,54,52.90%,25521,12330,3962,32.10%,11,12963,50.80%,"25,623","12,365","13,017",50.80%
France,NORTH MACEDONIA,SKOPJE,,,,,,64,48,20,41.70%,,8,12.50%,64,48,8,12.50%
France,NORWAY,OSLO,,,,,,1,1,,,,,,1,1,,
France,OMAN,MUSCAT,,,,,,8081,7324,3369,46.00%,2,579,7.20%,"8,081","7,326",579,7.20%
France,PAKISTAN,ISLAMABAD,2,,,1,50.00%,6388,3780,606,16.00%,43,2476,38.80%,"6,390","3,823","2,477",38.80%
France,PAKISTAN,KARACHI,,,,,,2,2,,,,,,2,2,,
France,PANAMA,PANAMA CITY,7,7,,,,102,88,4,4.50%,,7,6.90%,109,95,7,6.40%
France,PARAGUAY,ASUNCION,,,,,,1,,,,,,,1,,,
France,PERU,LIMA,1,1,,,,142,128,10,7.80%,,5,3.50%,143,129,5,3.50%
France,PHILIPPINES,MANILA,2,1,,1,50.00%,33193,29431,7832,26.60%,35,3581,10.80%,"33,195","29,467","3,582",10.80%
France,POLAND,WARSAW,,,,,,1,1,,,,,,1,1,,
France,QATAR,DOHA,2,1,,,,34963,31910,18818,59.00%,58,2880,8.20%,"34,965","31,969","2,880",8.20%
France,ROMANIA,BUCHAREST,,,,,,857,820,155,18.90%,,27,3.20%,857,820,27,3.20%
France,RUSSIAN FEDERATION,MOSCOW,24,23,,,,378353,366033,190364,52.00%,61,8798,2.30%,"3,78,377","3,66,117","8,798",2.30%
France,RWANDA,KIGALI,,,,,,118,107,,,2,4,3.40%,118,109,4,3.40%
France,SAINT LUCIA,CASTRIES,18,17,,,,541,485,122,25.20%,,21,3.90%,559,502,21,3.80%
France,SAUDI ARABIA,JEDDAH,8,3,,2,25.00%,61522,52744,36252,68.70%,25,7475,12.20%,"61,530","52,772","7,477",12.20%
France,SAUDI ARABIA,RIYADH,5,3,,2,40.00%,69117,64213,46274,72.10%,62,4037,5.80%,"69,122","64,278","4,039",5.80%
France,SENEGAL,DAKAR,70,53,,6,8.60%,43145,26696,7371,27.60%,3,15665,36.30%,"43,215","26,752","15,671",36.30%
France,SERBIA,BELGRADE,,,,,,65,52,15,28.80%,,8,12.30%,65,52,8,12.30%
France,SEYCHELLES,VICTORIA,,,,,,2,2,1,50.00%,,,,2,2,,
France,SINGAPORE,SINGAPORE,3,2,,,,9983,9692,4837,49.90%,,182,1.80%,"9,986","9,694",182,1.80%
France,SOUTH AFRICA,CAPE TOWN,,,,,,11193,10882,4835,44.40%,1,233,2.10%,"11,193","10,883",233,2.10%
France,SOUTH AFRICA,JOHANNESBURG,4,4,,,,25849,24927,12299,49.30%,8,627,2.40%,"25,853","24,939",627,2.40%
France,SOUTH KOREA,SEOUL,,,,,,841,816,52,6.40%,,22,2.60%,841,816,22,2.60%
France,SPAIN,MADRID,,,,,,136,122,3,2.50%,,4,2.90%,136,122,4,2.90%
France,SRI LANKA,COLOMBO,,,,,,13236,10239,2175,21.20%,21,2812,21.20%,"13,236","10,260","2,812",21.20%
France,SUDAN,KHARTOUM,,,,,,3236,2220,573,25.80%,52,812,25.10%,"3,236","2,272",812,25.10%
France,SURINAME,PARAMARIBO,,,,,,2910,2695,272,10.10%,1,134,4.60%,"2,910","2,696",134,4.60%
France,SWEDEN,STOCKHOLM,,,,,,7,5,,,,1,14.30%,7,5,1,14.30%
France,SWITZERLAND,GENEVA,,,,,,62,57,,,,1,1.60%,62,57,1,1.60%
France,SYRIA,ALEPPO,,,,,,,,,,,1,,,,1,
France,TAIWAN,TAIPEI,3,3,,,,319,297,15,5.10%,,9,2.80%,322,300,9,2.80%
France,TANZANIA,DAR ES SALAAM,,,,,,1520,1252,400,31.90%,36,224,14.70%,"1,520","1,288",224,14.70%
France,THAILAND,BANGKOK,,,,,,62120,60408,26136,43.30%,1,1276,2.10%,"62,120","60,409","1,276",2.10%
France,TOGO,LOME,7,5,,,,7498,5745,2241,39.00%,1,1626,21.70%,"7,505","5,751","1,626",21.70%
France,TUNISIA,TUNIS,,,,,,166930,135817,47329,34.80%,47,26604,15.90%,"1,66,930","1,35,864","26,604",15.90%
France,TURKEY,ANKARA,3,3,,,,27240,24470,6733,27.50%,4,2440,9.00%,"27,243","24,477","2,440",9.00%
France,TURKEY,ISTANBUL,1,1,,,,101411,94812,33304,35.10%,2,5143,5.10%,"1,01,412","94,815","5,143",5.10%
France,UGANDA,KAMPALA,2,1,,,,2924,2302,415,18.00%,,489,16.70%,"2,926","2,303",489,16.70%
France,UKRAINE,KYIV,10,8,,2,20.00%,1906,1627,84,5.20%,1,232,12.20%,"1,916","1,636",234,12.20%
France,UNITED ARAB EMIRATES,ABU DHABI,5,5,,,,11964,10628,3102,29.20%,19,1186,9.90%,"11,969","10,652","1,186",9.90%
France,UNITED ARAB EMIRATES,DUBAI,13,5,,7,53.80%,26491,21677,6279,29.00%,106,4403,16.60%,"26,504","21,788","4,410",16.60%
France,UNITED KINGDOM,EDINBURGH,,,,,,16,13,4,30.80%,,3,18.80%,16,13,3,18.80%
France,UNITED KINGDOM,LONDON,,,,,,126763,124635,76434,61.30%,74,1190,0.90%,"1,26,763","1,24,709","1,190",0.90%
France,URUGUAY,MONTEVIDEO,1,1,,,,28,27,1,3.70%,,,,29,28,,
France,USA,"ATLANTA, GA",36,36,,,,1009,994,115,11.60%,,1,0.10%,"1,045","1,030",1,0.10%
France,USA,"BOSTON, MA",2,2,,,,1285,1244,254,20.40%,,3,0.20%,"1,287","1,246",3,0.20%
France,USA,"CHICAGO, IL",,,,,,1363,1347,309,22.90%,1,18,1.30%,"1,363","1,348",18,1.30%
France,USA,"HOUSTON, TX",8,8,,,,1159,1153,143,12.40%,,9,0.80%,"1,167","1,161",9,0.80%
France,USA,"LOS ANGELES, CA",3,3,,,,2398,2402,291,12.10%,,7,0.30%,"2,401","2,405",7,0.30%
France,USA,"MIAMI, FL",,,,,,1396,1350,392,29.00%,,40,2.90%,"1,396","1,350",40,2.90%
France,USA,"NEW YORK, NY",4,4,,,,2715,2691,578,21.50%,1,14,0.50%,"2,719","2,696",14,0.50%
France,USA,"SAN FRANCISCO, CA",,,,,,3810,3810,1499,39.30%,,,,"3,810","3,810",,
France,USA,"WASHINGTON, DC",21,20,,1,4.80%,26745,24653,7174,29.10%,13,1268,4.70%,"26,766","24,686","1,269",4.70%
France,UZBEKISTAN,TASHKENT,1,1,,,,5382,4466,401,9.00%,40,731,13.60%,"5,383","4,507",731,13.60%
France,VANUATU,PORT VILA,,,,,,164,150,38,25.30%,1,,,164,151,,
France,VENEZUELA,CARACAS,9,9,,,,103,93,26,28.00%,,10,9.70%,112,102,10,8.90%
France,VIETNAM,HANOI,,,,,,35266,32198,4402,13.70%,216,2814,8.00%,"35,266","32,414","2,814",8.00%
France,VIETNAM,HO CHI MINH,,,,,,34061,30875,2180,7.10%,21,2651,7.80%,"34,061","30,896","2,651",7.80%
France,ZIMBABWE,HARARE,,,,,,2826,2646,553,20.90%,,132,4.70%,"2,826","2,646",132,4.70%
Germany,ALBANIA,TIRANA,,,,,,150,107,98,91.60%,24,19,12.70%,150,131,19,12.70%
Germany,ALGERIA,ALGIERS,,,,,,5301,4077,1219,29.90%,24,1200,22.60%,"5,301","4,101","1,200",22.60%
Germany,ANGOLA,LUANDA,1,1,1,,,2113,1275,346,27.10%,1,837,39.60%,"2,114","1,277",837,39.60%
Germany,ARGENTINA,BUENOS AIRES,20,20,20,,,63,56,56,100.00%,5,2,3.20%,83,81,2,2.40%
Germany,ARMENIA,YEREVAN,,,,,,15739,14366,5877,40.90%,5,1368,8.70%,"15,739","14,371","1,368",8.70%
Germany,AUSTRALIA,SYDNEY,,,,,,74,31,30,96.80%,20,23,31.10%,74,51,23,31.10%
Germany,AUSTRIA,VIENNA,,,,,,23,17,16,94.10%,6,,,23,23,,
Germany,AZERBAIJAN,BAKU,,,,,,13224,11377,6534,57.40%,1,1846,14.00%,"13,224","11,378","1,846",14.00%
Germany,BAHRAIN,MANAMA,1,1,1,,,8971,8759,8539,97.50%,14,198,2.20%,"8,972","8,774",198,2.20%
Germany,BANGLADESH,DHAKA,2,2,2,,,5854,4765,4700,98.60%,17,1072,18.30%,"5,856","4,784","1,072",18.30%
Germany,BELARUS,MINSK,4,4,4,,,35044,34694,20738,59.80%,23,327,0.90%,"35,048","34,721",327,0.90%
Germany,BELGIUM,BRUSSELS,,,,,,2,,,,2,,,2,2,,
Germany,BENIN,COTONOU,,,,,,699,503,105,20.90%,6,190,27.20%,699,509,190,27.20%
Germany,BOLIVIA,LA PAZ,6,6,6,,,1938,1871,1854,99.10%,7,60,3.10%,"1,944","1,884",60,3.10%
Germany,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,300,212,194,91.50%,60,28,9.30%,300,272,28,9.30%
Germany,BOTSWANA,GABORONE,2,2,2,,,1655,1646,1628,98.90%,1,8,0.50%,"1,657","1,649",8,0.50%
Germany,BRAZIL,PORTO ALEGRE,,,,,,18,17,13,76.50%,,1,5.60%,18,17,1,5.60%
Germany,BRAZIL,RECIFE,,,,,,16,13,13,100.00%,,3,18.80%,16,13,3,18.80%
Germany,BRAZIL,RIO DE JANEIRO,,,,,,56,45,44,97.80%,,11,19.60%,56,45,11,19.60%
Germany,BRAZIL,SAO PAULO,,,,,,150,115,112,97.40%,1,34,22.70%,150,116,34,22.70%
Germany,BULGARIA,SOFIA,2,2,1,,,861,834,734,88.00%,13,14,1.60%,863,849,14,1.60%
Germany,BURKINA FASO,OUAGADOUGOU,,,,,,1299,1087,1086,99.90%,6,206,15.90%,"1,299","1,093",206,15.90%
Germany,CAMBODIA,PHNOM PENH,,,,,,3526,3104,919,29.60%,,422,12.00%,"3,526","3,104",422,12.00%
Germany,CAMEROON,YAONDE,,,,,,4857,3493,606,17.30%,9,1355,27.90%,"4,857","3,502","1,355",27.90%
Germany,CANADA,TORONTO,3,3,1,,,2429,2305,2281,99.00%,33,91,3.70%,"2,432","2,341",91,3.70%
Germany,CHILE,SANTIAGO DE CHILE,3,3,3,,,116,114,79,69.30%,2,,,119,119,,
Germany,CHINA,BEIJING,1,1,1,,,140216,130643,121532,93.00%,12,9561,6.80%,"1,40,217","1,30,656","9,561",6.80%
Germany,CHINA,CHENGDU,,,,,,20506,19975,19973,100.00%,6,525,2.60%,"20,506","19,981",525,2.60%
Germany,CHINA,GUANGZHOU (CANTON),,,,,,84037,80654,66763,82.80%,1,3382,4.00%,"84,037","80,655","3,382",4.00%
Germany,CHINA,SHANGHAI,,,,,,172584,168020,156852,93.40%,18,4546,2.60%,"1,72,584","1,68,038","4,546",2.60%
Germany,CHINA,SHENYANG,,,,,,20119,19352,19343,100.00%,5,762,3.80%,"20,119","19,357",762,3.80%
Germany,COLOMBIA,BOGOTA,15,15,12,,,112,92,92,100.00%,13,7,6.30%,127,120,7,5.50%
Germany,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,,,,,,250,192,171,89.10%,40,18,7.20%,250,232,18,7.20%
Germany,COSTA RICA,SAN JOSE,5,5,2,,,35,29,27,93.10%,5,1,2.90%,40,39,1,2.50%
Germany,COTE D'IVOIRE,ABIDJAN ,,,,,,2474,1627,1121,68.90%,1,846,34.20%,"2,474","1,628",846,34.20%
Germany,CROATIA,ZAGREB,2,2,2,,,240,230,229,99.60%,,10,4.20%,242,232,10,4.10%
Germany,CUBA,HAVANA,,,,,,4760,3833,3820,99.70%,8,919,19.30%,"4,760","3,841",919,19.30%
Germany,CYPRUS,NICOSIA,1,1,1,,,1746,1278,782,61.20%,336,132,7.60%,"1,747","1,615",132,7.60%
Germany,CZECH REPUBLIC,PRAGUE,,,,,,2,1,1,100.00%,1,,,2,2,,
Germany,DENMARK,COPENHAGEN,,,,,,3,1,1,100.00%,2,,,3,3,,
Germany,DOMINICAN REPUBLIC,SANTO DOMINGO,4,4,3,,,3410,2584,1383,53.50%,2,824,24.20%,"3,414","2,590",824,24.10%
Germany,ECUADOR,QUITO,4,3,3,1,25.00%,5252,4659,4540,97.40%,3,590,11.20%,"5,256","4,665",591,11.20%
Germany,EGYPT,CAIRO,1,1,1,,,38535,32848,26496,80.70%,315,5372,13.90%,"38,536","33,164","5,372",13.90%
Germany,EL SALVADOR,SAN SALVADOR,,,,,,5,5,5,100.00%,,,,5,5,,
Germany,ETHIOPIA,ADDIS ABEBA,9,9,7,,,4265,3155,642,20.30%,20,1090,25.60%,"4,274","3,184","1,090",25.50%
Germany,FINLAND,HELSINKI,,,,,,3,3,3,100.00%,,,,3,3,,
Germany,FRANCE,PARIS,,,,,,2,2,2,100.00%,,,,2,2,,
Germany,GEORGIA,TBILISSI,,,,,,324,206,66,32.00%,5,113,34.90%,324,211,113,34.90%
Germany,GHANA,ACCRA,6,4,4,2,33.30%,6406,4374,1022,23.40%,10,2022,31.60%,"6,412","4,388","2,024",31.60%
Germany,GREECE,ATHENS,,,,,,11,7,7,100.00%,4,,,11,11,,
Germany,GUATEMALA,GUATEMALA CITY,4,4,4,,,98,96,96,100.00%,2,,,102,102,,
Germany,GUINEA,CONAKRY,,,,,,3087,1468,502,34.20%,3,1616,52.30%,"3,087","1,471","1,616",52.30%
Germany,HONDURAS,TEGUCIGALPA,,,,,,14,14,14,100.00%,,,,14,14,,
Germany,HONG KONG S.A.R.,HONG KONG,,,,,,2209,2059,2030,98.60%,132,18,0.80%,"2,209","2,191",18,0.80%
Germany,INDIA,BANGALORE,36,34,31,2,5.60%,33707,31277,25611,81.90%,55,2375,7.00%,"33,743","31,366","2,377",7.00%
Germany,INDIA,CHENNAI,44,33,24,11,25.00%,22089,20397,16558,81.20%,9,1683,7.60%,"22,133","20,439","1,694",7.70%
Germany,INDIA,KOLKATA,33,31,31,2,6.10%,7497,7065,7064,100.00%,,432,5.80%,"7,530","7,096",434,5.80%
Germany,INDIA,MUMBAI,176,154,114,22,12.50%,57900,54082,42711,79.00%,5,3813,6.60%,"58,076","54,241","3,835",6.60%
Germany,INDIA,NEW DELHI,136,109,97,27,19.90%,45808,40107,39190,97.70%,165,5536,12.10%,"45,944","40,381","5,563",12.10%
Germany,INDONESIA,JAKARTA,,,,,,27779,27382,27323,99.80%,18,379,1.40%,"27,779","27,400",379,1.40%
Germany,IRAN,TEHERAN,107,102,93,5,4.70%,53647,42453,22587,53.20%,209,10985,20.50%,"53,754","42,764","10,990",20.40%
Germany,IRAQ,BAGHDAD,1,1,1,,,4660,3685,2062,56.00%,13,962,20.60%,"4,661","3,699",962,20.60%
Germany,IRAQ,ERBIL,,,,,,25647,11532,8479,73.50%,15,14100,55.00%,"25,647","11,547","14,100",55.00%
Germany,IRELAND,DUBLIN,,,,,,1089,1042,729,70.00%,4,43,3.90%,"1,089","1,046",43,3.90%
Germany,ISRAEL,TEL AVIV,2,2,2,,,1261,1251,982,78.50%,3,7,0.60%,"1,263","1,256",7,0.60%
Germany,ITALY,ROME,,,,,,30,29,29,100.00%,1,,,30,30,,
Germany,JAMAICA,KINGSTON,33,30,17,3,9.10%,1344,1201,1189,99.00%,3,140,10.40%,"1,377","1,234",143,10.40%
Germany,JAPAN,OSAKA,,,,,,828,811,507,62.50%,2,15,1.80%,828,813,15,1.80%
Germany,JAPAN,TOKYO,,,,,,1816,1814,1810,99.80%,2,,,"1,816","1,816",,
Germany,JORDAN,AMMAN,5,5,5,,,9571,8357,4324,51.70%,253,961,10.00%,"9,576","8,615",961,10.00%
Germany,KAZAKHSTAN,ALMATY,,,,,,19205,17671,8682,49.10%,8,1526,7.90%,"19,205","17,679","1,526",7.90%
Germany,KAZAKHSTAN,ASTANA,,,,,,21624,20909,5765,27.60%,4,711,3.30%,"21,624","20,913",711,3.30%
Germany,KENYA,NAIROBI,1,1,1,,,6142,5136,1457,28.40%,16,990,16.10%,"6,143","5,153",990,16.10%
Germany,KOSOVO,PRISTINA,,,,,,32529,40,39,97.50%,25058,7431,22.80%,"32,529","25,098","7,431",22.80%
Germany,KUWAIT,KUWAIT,2,2,2,,,48508,46999,46997,100.00%,30,1479,3.00%,"48,510","47,031","1,479",3.00%
Germany,KYRGYZSTAN,BISHKEK,,,,,,11064,10295,1527,14.80%,2,767,6.90%,"11,064","10,297",767,6.90%
Germany,LAOS,VIENTIANE,,,,,,1861,1797,954,53.10%,,64,3.40%,"1,861","1,797",64,3.40%
Germany,LATVIA,RIGA,,,,,,3,3,3,100.00%,,,,3,3,,
Germany,LEBANON,BEIRUT,15,12,12,3,20.00%,10971,7370,7193,97.60%,189,3412,31.10%,"10,986","7,571","3,415",31.10%
Germany,LITHUANIA,VILNIUS,,,,,,30,30,30,100.00%,,,,30,30,,
Germany,MALAYSIA,KUALA LUMPUR,3,3,3,,,841,738,728,98.60%,14,89,10.60%,844,755,89,10.50%
Germany,MALI,BAMAKO,,,,,,952,602,343,57.00%,2,348,36.60%,952,604,348,36.60%
Germany,MALTA,VALETTA,,,,,,1,1,,,,,,1,1,,
Germany,MAURITANIA,NOUAKCHOTT,,,,,,1248,907,807,89.00%,1,340,27.20%,"1,248",908,340,27.20%
Germany,MEXICO,MEXICO CITY,69,67,51,2,2.90%,185,180,167,92.80%,4,1,0.50%,254,251,3,1.20%
Germany,MOLDOVA,CHISINAU,12,12,12,,,164,152,142,93.40%,,12,7.30%,176,164,12,6.80%
Germany,MONGOLIA,ULAN BATOR,,,,,,10976,9591,2760,28.80%,5,1380,12.60%,"10,976","9,596","1,380",12.60%
Germany,MONTENEGRO,PODGORICA,,,,,,247,218,213,97.70%,24,5,2.00%,247,242,5,2.00%
Germany,MOROCCO,RABAT,,,,,,18441,12771,9631,75.40%,4,5666,30.70%,"18,441","12,775","5,666",30.70%
Germany,MOZAMBIQUE,MAPUTO,,,,,,1206,1057,363,34.30%,51,98,8.10%,"1,206","1,108",98,8.10%
Germany,MYANMAR,YANGON,3,3,3,,,3968,3816,3715,97.40%,,152,3.80%,"3,971","3,819",152,3.80%
Germany,NAMIBIA,WINDHOEK,,,,,,4002,3950,2082,52.70%,4,48,1.20%,"4,002","3,954",48,1.20%
Germany,NEPAL,KATHMANDU,,,,,,5087,4026,3994,99.20%,1,1060,20.80%,"5,087","4,027","1,060",20.80%
Germany,NETHERLANDS,AMSTERDAM,,,,,,11,11,11,100.00%,,,,11,11,,
Germany,NEW ZEALAND,WELLINGTON,,,,,,545,541,534,98.70%,2,2,0.40%,545,543,2,0.40%
Germany,NICARAGUA,MANAGUA,1,1,1,,,7,7,7,100.00%,,,,8,8,,
Germany,NIGERIA,ABUJA,71,62,52,9,12.70%,1358,1147,598,52.10%,169,42,3.10%,"1,429","1,378",51,3.60%
Germany,NIGERIA,LAGOS,132,38,20,94,71.20%,9489,4404,2191,49.80%,29,5056,53.30%,"9,621","4,471","5,150",53.50%
Germany,NORTH KOREA,PYONGYANG,,,,,,65,52,17,32.70%,,13,20.00%,65,52,13,20.00%
Germany,NORTH MACEDONIA,SKOPJE,,,,,,94,69,69,100.00%,18,7,7.40%,94,87,7,7.40%
Germany,OMAN,MUSCAT,,,,,,10476,9991,9797,98.10%,15,470,4.50%,"10,476","10,006",470,4.50%
Germany,PAKISTAN,ISLAMABAD,,,,,,9229,6784,3803,56.10%,41,2404,26.00%,"9,229","6,825","2,404",26.00%
Germany,PAKISTAN,KARACHI,10,7,4,3,30.00%,10467,8618,8609,99.90%,35,1814,17.30%,"10,477","8,660","1,817",17.30%
Germany,PALESTINIAN AUTHORITY,RAMALLAH,,,,,,4685,3537,3513,99.30%,555,593,12.70%,"4,685","4,092",593,12.70%
Germany,PANAMA,PANAMA CITY,3,3,3,,,69,58,50,86.20%,1,10,14.50%,72,62,10,13.90%
Germany,PARAGUAY,ASUNCION,2,2,2,,,19,15,15,100.00%,4,,,21,21,,
Germany,PERU,LIMA,2,2,2,,,42,40,40,100.00%,1,1,2.40%,44,43,1,2.30%
Germany,PHILIPPINES,MANILA,,,,,,18829,16883,16632,98.50%,7,1939,10.30%,"18,829","16,890","1,939",10.30%
Germany,POLAND,WARSAW,,,,,,20,20,17,85.00%,,,,20,20,,
Germany,PORTUGAL,LISBON,,,,,,5,5,5,100.00%,,,,5,5,,
Germany,QATAR,DOHA,,,,,,19027,17503,15890,90.80%,274,1250,6.60%,"19,027","17,777","1,250",6.60%
Germany,ROMANIA,BUCHAREST,,,,,,645,622,408,65.60%,,23,3.60%,645,622,23,3.60%
Germany,RUSSIAN FEDERATION,KALININGRAD,,,,,,22862,22474,19862,88.40%,,388,1.70%,"22,862","22,474",388,1.70%
Germany,RUSSIAN FEDERATION,MOSCOW,1,1,1,,,199626,193097,192965,99.90%,95,6434,3.20%,"1,99,627","1,93,193","6,434",3.20%
Germany,RUSSIAN FEDERATION,NOVOSIBIRSK,,,,,,34612,33254,13219,39.80%,2,1356,3.90%,"34,612","33,256","1,356",3.90%
Germany,RUSSIAN FEDERATION,ST. PETERSBURG,1,,,1,100.00%,19167,18956,15504,81.80%,35,176,0.90%,"19,168","18,991",177,0.90%
Germany,RUSSIAN FEDERATION,YEKATERINBURG,,,,,,25987,24981,12074,48.30%,2,1004,3.90%,"25,987","24,983","1,004",3.90%
Germany,RWANDA,KIGALI,,,,,,121,88,87,98.90%,24,9,7.40%,121,112,9,7.40%
Germany,SAUDI ARABIA,JEDDAH,,,,,,16107,16046,16042,100.00%,2,59,0.40%,"16,107","16,048",59,0.40%
Germany,SAUDI ARABIA,RIYADH,,,,,,47372,41809,38310,91.60%,196,5367,11.30%,"47,372","42,005","5,367",11.30%
Germany,SENEGAL,DAKAR,,,,,,2943,1863,893,47.90%,4,1076,36.60%,"2,943","1,867","1,076",36.60%
Germany,SERBIA,BELGRADE,2,2,2,,,1555,1452,1450,99.90%,53,50,3.20%,"1,557","1,507",50,3.20%
Germany,SINGAPORE,SINGAPORE,2,2,2,,,4591,4554,4552,100.00%,6,31,0.70%,"4,593","4,562",31,0.70%
Germany,SLOVENIA,LJUBLJANA,,,,,,73,49,49,100.00%,11,13,17.80%,73,60,13,17.80%
Germany,SOUTH AFRICA,CAPE TOWN,,,,,,11660,11323,11307,99.90%,9,328,2.80%,"11,660","11,332",328,2.80%
Germany,SOUTH AFRICA,PRETORIA,2,2,2,,,20507,20068,20058,100.00%,7,432,2.10%,"20,509","20,077",432,2.10%
Germany,SOUTH KOREA,SEOUL,1,1,1,,,702,614,595,96.90%,5,83,11.80%,703,620,83,11.80%
Germany,SPAIN,MADRID,3,3,2,,,35,15,15,100.00%,20,,,38,38,,
Germany,SRI LANKA,COLOMBO,,,,,,7912,6478,6310,97.40%,2,1432,18.10%,"7,912","6,480","1,432",18.10%
Germany,SUDAN,KHARTOUM,5,5,5,,,2085,1451,645,44.50%,164,470,22.50%,"2,090","1,620",470,22.50%
Germany,SWEDEN,STOCKHOLM,1,1,1,,,3,3,3,100.00%,,,,4,4,,
Germany,SWITZERLAND,BERN,,,,,,9,7,7,100.00%,2,,,9,9,,
Germany,TAIWAN,TAIPEI,,,,,,340,317,153,48.30%,,23,6.80%,340,317,23,6.80%
Germany,TAJIKISTAN,DUSHANBE,,,,,,4662,3750,1059,28.20%,11,901,19.30%,"4,662","3,761",901,19.30%
Germany,TANZANIA,DAR ES SALAAM,,,,,,2856,2591,2586,99.80%,3,262,9.20%,"2,856","2,594",262,9.20%
Germany,THAILAND,BANGKOK,1,1,1,,,58363,56986,56855,99.80%,5,1372,2.40%,"58,364","56,992","1,372",2.40%
Germany,TOGO,LOME,,,,,,1247,861,240,27.90%,1,385,30.90%,"1,247",862,385,30.90%
Germany,TRINIDAD AND TOBAGO,PORT OF SPAIN,48,48,34,,,117,111,102,91.90%,2,4,3.40%,165,161,4,2.40%
Germany,TUNISIA,TUNIS,9,3,2,6,66.70%,20606,17122,12252,71.60%,63,3421,16.60%,"20,615","17,188","3,427",16.60%
Germany,TURKEY,ANKARA,43,39,38,4,9.30%,72277,60439,57674,95.40%,29,11809,16.30%,"72,320","60,507","11,813",16.30%
Germany,TURKEY,ISTANBUL,72,54,54,18,25.00%,125702,111821,111065,99.30%,77,13804,11.00%,"1,25,774","1,11,952","13,822",11.00%
Germany,TURKEY,IZMIR,22,15,15,7,31.80%,39344,36494,31246,85.60%,17,2833,7.20%,"39,366","36,526","2,840",7.20%
Germany,TURKMENISTAN,ASHGABAT,,,,,,4362,4226,1686,39.90%,9,127,2.90%,"4,362","4,235",127,2.90%
Germany,UGANDA,KAMPALA,3,3,2,,,3927,3299,632,19.20%,11,617,15.70%,"3,930","3,313",617,15.70%
Germany,UKRAINE,KYIV,,,,,,5435,5085,3133,61.60%,43,307,5.60%,"5,435","5,128",307,5.60%
Germany,UNITED ARAB EMIRATES,DUBAI,4,3,2,1,25.00%,29867,23658,23359,98.70%,840,5369,18.00%,"29,871","24,501","5,370",18.00%
Germany,UNITED KINGDOM,EDINBURGH,,,,,,2487,2458,2431,98.90%,,29,1.20%,"2,487","2,458",29,1.20%
Germany,UNITED KINGDOM,LONDON,,,,,,23743,23170,22307,96.30%,381,192,0.80%,"23,743","23,551",192,0.80%
Germany,URUGUAY,MONTEVIDEO,2,2,,,,10,7,7,100.00%,1,2,20.00%,12,10,2,16.70%
Germany,USA,"ATLANTA, GA",36,36,16,,,1086,1063,716,67.40%,3,20,1.80%,"1,122","1,102",20,1.80%
Germany,USA,"BOSTON, MA",33,33,3,,,1803,1784,1220,68.40%,17,2,0.10%,"1,836","1,834",2,0.10%
Germany,USA,"CHICAGO, IL",49,49,18,,,2876,2794,1395,49.90%,10,72,2.50%,"2,925","2,853",72,2.50%
Germany,USA,"HOUSTON, TX",30,30,14,,,1718,1638,582,35.50%,7,73,4.20%,"1,748","1,675",73,4.20%
